ID,DateDone,Age,Gender,InformationUseful,VideoDuration,ImproveExerciseKnowledge,UnderstandExerciseImportance,KnowHowToExercise,RecommendVideo,HealthExpertsUseful
1,2022-08-27,50-59,Male,5,4,4,4,4,4,4
2,2022-08-29,Below50,Male,5,4,5,4,5,4,4
3,2022-08-29,Below50,Female,5,5,5,5,5,5,5
4,2022-08-29,Below50,Female,5,5,5,5,5,5,5
5,2022-08-29,Below50,Male,5,4,5,5,5,5,4
6,2022-08-29,Below50,Female,5,3,4,5,5,5,4
7,2022-08-31,50-59,Female,5,5,5,5,5,5,5
8,2022-08-31,50-59,Female,5,5,5,5,5,5,5
9,2022-08-31,50-59,Male,3,3,4,5,4,4,4
10,2022-08-31,50-59,Female,4,4,4,4,4,3,4
11,2022-08-31,50-59,Female,5,5,5,5,5,5,5
12,2022-09-01,60-69,Female,5,5,5,5,5,5,5
13,2022-09-01,50-59,Male,5,4,4,5,4,5,4
14,2022-09-01,60-69,Female,5,4,5,5,5,5,5
15,2022-09-01,Below50,Male,4,4,4,4,4,4,4
16,2022-09-01,60-69,Male,5,5,5,5,5,5,5
17,2022-09-01,50-59,Female,4,3,4,4,4,3,3
18,2022-09-01,Below50,Male,4,3,5,5,5,4,5
19,2022-09-01,50-59,Male,4,3,4,4,4,3,3
20,2022-09-01,50-59,Female,5,5,5,4,4,5,4
21,2022-09-01,50-59,Male,5,4,5,5,5,4,5
22,2022-09-01,Below50,Female,4,4,4,5,4,4,3
23,2022-09-01,Below50,Female,5,5,5,5,5,5,5
24,2022-09-01,50-59,Male,4,4,5,5,4,5,5
25,2022-09-01,50-59,Male,4,3,4,4,4,4,4
26,2022-09-01,50-59,Female,4,3,5,5,5,4,4
27,2022-09-01,Below50,Male,4,3,4,5,4,3,4
28,2022-09-01,50-59,Female,5,4,4,4,4,4,5
29,2022-09-01,60-69,Female,4,4,4,4,4,4,4
30,2022-09-01,50-59,Female,5,5,5,5,5,5,5
31,2022-09-01,50-59,Female,4,3,4,4,4,4,4
32,2022-09-01,50-59,Female,5,4,4,5,5,4,4
33,2022-09-01,60-69,Female,5,3,4,4,4,4,4
34,2022-09-01,60-69,Female,4,4,4,4,4,4,4
35,2022-09-01,50-59,Female,4,4,5,5,4,4,4
36,2022-09-02,60-69,Male,4,4,4,4,4,0,4
37,2022-09-02,70-79,Female,5,5,5,5,5,5,5
38,2022-09-02,60-69,Female,4,4,4,4,4,4,4
39,2022-09-02,50-59,Female,5,4,4,4,5,4,5
40,2022-09-03,60-69,Female,5,5,5,5,5,5,5
